ligand,ID,CAN SMILES,SMILES,P in rings,diff R,Formula:Formula,MolWt:MWt,AtomCount:nAtom,RotatableBondsCount:nRotB,Virtual,Chiral,diast,diast,PH,PB,PC,PN,PO,PF,PSi,PS,PC3,PAr3,CPN,CPO,P[N]3,P(OR)3,Phosphoramidite,PON2,PXY,,rkey,[Fe],Buchwald 1,Buchwald 2,PPhR2,Cy2PR,Cy checked?,Pkey,WuPhos,CAS PR3,COM,sigma_and_strem
PPh2(NMe-2pyrrolyl),00000382,Cn1cccc1P(c1ccccc1)c1ccccc1,Cn1cccc1P(c2ccccc2)c3ccccc3,0,2,C17H16NP,265,35,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,54828-71-6,1,#REF!
P(O-4CF3-Ph)3,00000383,FC(F)(F)c1ccc(OP(Oc2ccc(C(F)(F)F)cc2)Oc2ccc(C(F)(F)F)cc2)cc1,FC(c1ccc(OP(Oc2ccc(C(F)(F)F)cc2)Oc3ccc(C(F)(F)F)cc3)cc1)(F)F,0,1,C21H12F9O3P,514,46,9,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,198983-67-4,0,#REF!
P(O-4OMe-Ph)3,00000384,COc1ccc(OP(Oc2ccc(OC)cc2)Oc2ccc(OC)cc2)cc1,COc1ccc(OP(Oc2ccc(OC)cc2)Oc3ccc(OC)cc3)cc1,0,1,C21H21O6P,400,49,9,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,19909-81-0,1,#REF!
P(O-4F-Ph)3,00000385,Fc1ccc(OP(Oc2ccc(F)cc2)Oc2ccc(F)cc2)cc1,Fc1ccc(OP(Oc2ccc(F)cc2)Oc3ccc(F)cc3)cc1,0,1,C18H12F3O3P,364,37,6,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,350-71-0,1,#REF!
P(O-4I-Ph)3,00000386,Ic1ccc(OP(Oc2ccc(I)cc2)Oc2ccc(I)cc2)cc1,Ic1ccc(OP(Oc2ccc(I)cc2)Oc3ccc(I)cc3)cc1,0,1,C18H12I3O3P,688,37,6,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,517918-94-4,1,#REF!
P(OMe)(OPh)2,00000387,COP(Oc1ccccc1)Oc1ccccc1,COP(Oc1ccccc1)Oc2ccccc2,0,2,C13H13O3P,248,30,5,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,3577-87-5,1,#REF!
P(OnBu)2(OPh),00000388,CCCCOP(OCCCC)Oc1ccccc1,CCCCOP(Oc1ccccc1)OCCCC,0,2,C14H23O3P,270,41,10,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,3266-57-7,1,#REF!
P(O-4Me-Ph)3,00000389,Cc1ccc(OP(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,Cc1ccc(OP(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,0,1,C21H21O3P,352,46,6,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,620-42-8,1,#REF!
PhAZ-Phos,00000390,c1ccc(-c2ccc(-c3ccccc3P(c3ccccc3)c3ccccc3)cc2)cc1,c1(P(c2ccccc2c3ccc(c4ccccc4)cc3)c5ccccc5)ccccc1,0,2,C30H23P,414,54,5,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,2080406-04-6,0,#REF!
MePhosphatrioxabicyclooctane,00000391,CC12COP(OC1)OC2,CC1(CO2)COP2OC1,3,1,C5H9O3P,148,18,0,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,1449-91-8,1,#REF!
PPh(4-NMe2-Ph)2,00000392,CN(C)c1ccc(P(c2ccccc2)c2ccc(N(C)C)cc2)cc1,CN(c1ccc(P(c2ccc(N(C)C)cc2)c3ccccc3)cc1)C,0,2,C22H25N2P,348,50,5,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,1100-11-4,1,#REF!
PPhoTol2,00000393,Cc1ccccc1P(c1ccccc1)c1ccccc1C,Cc1ccccc1P(c2ccccc2)c3c(C)cccc3,0,2,C20H19P,290,40,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,18803-09-3,1,#REF!
P(OoTol)3,00000394,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C,Cc1ccccc1OP(Oc2c(C)cccc2)Oc3c(C)cccc3,0,1,C21H21O3P,352,46,6,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,2622-08-4,1,1
P(OmTol)3,00000395,Cc1cccc(OP(Oc2cccc(C)c2)Oc2cccc(C)c2)c1,Cc1cccc(OP(Oc2cc(C)ccc2)Oc3cc(C)ccc3)c1,0,1,C21H21O3P,352,46,6,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,620-38-2,1,#REF!
PPh Phosphirane,00000396,c1ccc(P2CC2)cc1,P1(C2=CC=CC=C2)CC1,1,2,C8H9P,136,18,1,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,22846-16-8,1,#REF!
PPh Phosphetane,00000397,c1ccc(P2CCC2)cc1,P1(C2=CC=CC=C2)CCC1,1,2,C9H11P,150,21,1,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,142599-70-0,1,#REF!
PPh Phospholane,00000398,c1ccc(P2CCCC2)cc1,P2(CCCC2)c1ccccc1,1,2,C10H13P,164,24,1,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,3302-87-2,1,#REF!
PPh Phosphinane,00000399,c1ccc(P2CCCCC2)cc1,P2(CCCCC2)c1ccccc1,1,2,C11H15P,178,27,1,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,3302-83-8,1,#REF!
"endo PPh,NTs Azaphosphabicycloheptane",00000400,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@@]3c2ccccc2)cc1,O=S(N1C[C@@]2([H])[P@@](c3ccccc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,2,2,C18H20NO2PS,345,43,3,,1,1,401,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,1591861-38-9,0,#REF!
"exo PPh,NTs Azaphosphabicycloheptane",00000401,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccccc2)cc1,O=S(N1C[C@@]2([H])[P@](c3ccccc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,2,2,C18H20NO2PS,345,43,3,,1,1,400,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,1621906-60-2,0,#REF!
"endo P(4-OMe-Ph),NTs Azaphosphabicycloheptane",00000402,COc1ccc([P@@]2C[C@@H]3C[C@H]2CN3S(=O)(=O)c2ccc(C)cc2)cc1,O=S(N1C[C@@]2([H])[P@@](c3ccc(OC)cc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,2,2,C19H22NO3PS,375,47,4,,1,1,403,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1883493-01-3,0,#REF!
"exo P(4-OMe-Ph),NTs Azaphosphabicycloheptane",00000403,COc1ccc([P@]2C[C@@H]3C[C@H]2CN3S(=O)(=O)c2ccc(C)cc2)cc1,O=S(N1C[C@@]2([H])[P@](c3ccc(OC)cc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,2,2,C19H22NO3PS,375,47,4,,1,1,402,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1975180-37-0,0,#REF!
"endo P(4-F-Ph),NTs Azaphosphabicycloheptane",00000404,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccc(F)cc2)cc1,O=S(N1C[C@]2([P@](C[C@@]1(C2)[H])c3ccc(F)cc3)[H])(c4ccc(C)cc4)=O,2,2,C18H19FNO2PS,363,43,3,,1,1,405,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1883493-04-6,0,#REF!
"exo P(4-F-Ph),NTs Azaphosphabicycloheptane",00000405,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@@]3c2ccc(F)cc2)cc1,O=S(N1C[C@]2([P@@](C[C@@]1(C2)[H])c3ccc(F)cc3)[H])(c4ccc(C)cc4)=O,2,2,C18H19FNO2PS,363,43,3,,1,1,404,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1975180-38-1,0,#REF!
"endo P(1Nap),NTs Azaphosphabicycloheptane",00000406,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@@]3c2cccc3ccccc23)cc1,O=S(N1C[C@@]2([H])[P@@](c3c4ccccc4ccc3)C[C@]1([H])C2)(c5ccc(C)cc5)=O,2,2,C22H22NO2PS,395,49,3,,1,1,407,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,"1883493-06-8 (SS, PS abs), 1632119-24-4 (SS, PS rel), 1632119-26-6 (SS, PR rel), 2244143-08-4 (SS, PR abs), 2119891-89-1 (no stereo)",1,#REF!
"exo P(1Nap),NTs Azaphosphabicycloheptane",00000407,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2cccc3ccccc23)cc1,O=S(N1C[C@@]2([H])[P@](c3c4ccccc4ccc3)C[C@]1([H])C2)(c5ccc(C)cc5)=O,2,2,C22H22NO2PS,395,49,3,,1,1,406,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,2244143-08-4,0,#REF!
"endo P(2Nap),NTs Azaphosphabicycloheptane",00000408,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@@]3c2ccc3ccccc3c2)cc1,O=S(N1C[C@@]2([H])[P@@](c3cc4ccccc4cc3)C[C@]1([H])C2)(c5ccc(C)cc5)=O,2,2,C22H22NO2PS,395,49,3,,1,1,409,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1883493-08-0,0,#REF!
"exo P(2Nap),NTs Azaphosphabicycloheptane",00000409,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccc3ccccc3c2)cc1,O=S(N1C[C@@]2([H])[P@](c3cc4ccccc4cc3)C[C@]1([H])C2)(c5ccc(C)cc5)=O,2,2,C22H22NO2PS,395,49,3,,1,1,408,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,2244143-09-5,0,#REF!
"endo PPh,NBn Azaphosphabicycloheptane",00000410,c1ccc(CN2C[C@@H]3C[C@H]2C[P@@]3c2ccccc2)cc1,[H][C@@]1(C2)N(CC3=CC=CC=C3)C[C@@]2([H])[P@@](c4ccccc4)C1,2,2,C18H20NP,281,40,3,,1,1,411,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,1975180-40-5,0,#REF!
"exo PPh,NBn Azaphosphabicycloheptane",00000411,c1ccc(CN2C[C@@H]3C[C@H]2C[P@]3c2ccccc2)cc1,[H][C@@]1(C2)N(CC3=CC=CC=C3)C[C@@]2([H])[P@](c4ccccc4)C1,2,2,C18H20NP,281,40,3,,1,1,410,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,1975180-39-2,0,#REF!
P(CF3)3,00000412,FC(F)(F)P(C(F)(F)F)C(F)(F)F,FC(F)(F)P(C(F)(F)F)C(F)(F)F,0,1,C3F9P,238,13,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,432-04-2,1,#REF!
"P(3,4-OCH2CH2O-Ph)3",00000413,c1cc2c(cc1P(c1ccc3c(c1)OCCO3)c1ccc3c(c1)OCCO3)OCCO2,P(c5cc6c(cc5)OCCO6)(c3cc4c(cc3)OCCO4)c1cc2c(cc1)OCCO2,0,1,C24H21O6P,436,52,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,301675-84-3,1,#REF!
P(CCPh)3,00000414,C(#CP(C#Cc1ccccc1)C#Cc1ccccc1)c1ccccc1,P(C#Cc1ccccc1)(C#Cc2ccccc2)C#Cc3ccccc3,0,1,C24H15P,334,40,0,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,4547-77-7,1,#REF!
PPh(CCPh)2,00000415,C(#CP(C#Cc1ccccc1)c1ccccc1)c1ccccc1,P(c3ccccc3)(C#Cc2ccccc2)C#Cc1ccccc1,0,2,C22H15P,310,38,1,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,27258-73-7,1,#REF!
PPh2(CCPh),00000416,C(#CP(c1ccccc1)c1ccccc1)c1ccccc1,P(c3ccccc3)(c2ccccc2)C#Cc1ccccc1,0,2,C20H15P,286,36,2,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,7608-17-5,1,#REF!
PAd2tBu,00000417,CC(P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3)(C)C,CC(P([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)(C)C,0,2,C24H39P,359,64,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,163124-39-8,0,#REF!
Ph-Me2Phospholane (trans),00000418,C[C@H]1CC[C@H](C)P1c1ccccc1,C[C@H]1CC[C@@H](P1c1ccccc1)C,1,2,C12H17P,192,30,1,,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,"129647-10-5 (RR abs), 129705-29-9 (SS abs), 40358-68-7 (no stereo), 224180-45-4 (SS rel)",1,#REF!
Ph-Et2Phospholane (trans),00000419,CC[C@@H]1CC[C@@H](CC)P1c1ccccc1,CC[C@@H]1CC[C@H](P1c1ccccc1)CC,1,2,C14H21P,220,36,3,,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,"137253-23-7 (RR abs), 137151-96-3 (SS abs)",1,#REF!
Ph-iPr2Phospholane (trans),00000420,CC(C)[C@@H]1CC[C@@H](C(C)C)P1c1ccccc1,CC([C@@H]1CC[C@H](P1c1ccccc1)C(C)C)C,1,2,C16H25P,248,42,3,,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,"444648-31-1 (SS abs), 137151-97-4 (RR abs)",1,#REF!
PiPr2Ferrocene,00000421,CC(C)P(C(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(P(C(C)C)C12C3C4C5C1[Fe]43526789C%10C6C7C8C%109)C,0,2,C16H23FeP,302,41,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,,144303-93-5,0,#REF!
PCy2Ferrocene,00000422,C1CCC(P(C2CCCCC2)C23C4C5C6C2[Fe]56432789C3C2C7C8C39)CC1,P(C12C3C4C5C1[Fe]43526789C%10C6C7C8C%109)(C%11CCCCC%11)C%12CCCCC%12,0,2,C22H31FeP,382,55,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,525603-48-9,0,#REF!
PPh(NPyrrolyl)2,00000423,c1ccc(P(n2cccc2)n2cccc2)cc1,c1ccc(cc1)P(n1cccc1)n1cccc1,0,2,C14H13N2P,240,30,3,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,54006-05-2,1,#REF!
P(NiPr2)2tBu,00000424,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)C(C)(C)C,CC(N(P(C(C)(C)C)N(C(C)C)C(C)C)C(C)C)C,0,2,C16H37N2P,288,56,7,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,,6,,338800-17-2,0,#REF!
P(NPh2)2tBu,00000425,CC(C)(C)P(N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,CC(P(N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1)(C)C,0,2,C28H29N2P,425,60,7,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,,6,,338800-19-4,0,#REF!
PPh NMe dibenzodiazaphosphepine,00000426,Cn1c2ccccc2c2ccccc2n(C)p1-c1ccccc1,CN1C2=C(C3=C(C=CC=C3)N(C)P1c4ccccc4)C=CC=C2,1,2,C20H19N2P,318,42,1,1,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,not on scifinder,0,#REF!
PPh NMe benzodiazaphosphepine,00000427,CN1Cc2ccccc2CN(C)P1c1ccccc1,CN1Cc2ccccc2CN(P1c1ccccc1)C,1,2,C16H19N2P,270,38,1,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,not on scifinder,0,#REF!
PPh NtBu diazaphosphepane,00000428,CC(C)(C)N1CCCCN(C(C)(C)C)P1c1ccccc1,CC(N1CCCCN(P1c1ccccc1)C(C)(C)C)(C)C,1,2,C18H31N2P,306,52,3,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,not on scifinder,0,#REF!
PPh NiPr diazaphosphepane,00000429,CC(C)N1CCCCN(C(C)C)P1c1ccccc1,CC(N1CCCCN(P1c1ccccc1)C(C)C)C,1,2,C16H27N2P,278,46,3,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,not on scifinder,0,#REF!
PPh NMe diazaphosphepane,00000430,CN1CCCCN(C)P1c1ccccc1,CN1CCCCN(P1c1ccccc1)C,1,2,C12H19N2P,222,34,1,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,not on scifinder,0,#REF!
PPh NtBu diazaphosphinane,00000431,CC(C)(C)N1CCCN(C(C)(C)C)P1c1ccccc1,CC(N1CCCN(P1c1ccccc1)C(C)(C)C)(C)C,1,2,C17H29N2P,292,49,3,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,65237-56-1,1,#REF!
PPh NiPr diazaphosphinane,00000432,CC(C)N1CCCN(C(C)C)P1c1ccccc1,CC(N1CCCN(P1c1ccccc1)C(C)C)C,1,2,C15H25N2P,264,43,3,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,not on scifinder,0,#REF!
"PPh NMe 5,5Me2-diazaphosphinane",00000433,CN1CC(C)(C)CN(C)P1c1ccccc1,CN1CC(C)(C)CN(P1c1ccccc1)C,1,2,C13H21N2P,236,37,1,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,40201-81-8,1,#REF!
PPh NMe diazaphosphinane,00000434,CN1CCCN(C)P1c1ccccc1,CN1CCCN(P1c1ccccc1)C,1,2,C11H17N2P,208,31,1,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,40201-80-7,1,#REF!
PPh NtBu diazaphospholidine,00000435,CC(C)(C)N1CCN(C(C)(C)C)P1c1ccccc1,CC(N1CCN(P1c1ccccc1)C(C)(C)C)(C)C,1,2,C16H27N2P,278,46,3,1,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,not on scifinder,0,#REF!
PPh NiPr diazaphospholidine,00000436,CC(C)N1CCN(C(C)C)P1c1ccccc1,CC(N1CCN(P1c1ccccc1)C(C)C)C,1,2,C14H23N2P,250,40,3,,0,0,,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,,6,,1254065-26-3,1,#REF!
PPh Phosphanorbornane,00000437,c1ccc(P2C3CCC2CC3)cc1,C1(P2C3=CC=CC=C3)CCC2CC1,2,2,C12H15P,190,28,1,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,not on scifinder,0,#REF!
P(OEt2)(CH_NHPh_Ph),00000438,CCOP(OCC)C(Nc1ccccc1)c1ccccc1,P(OCC)(OCC)C(Nc2ccccc2)c1ccccc1,0,2,C17H22NO2P,303,43,8,,1,0,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,,1,,331839-06-6,1,#REF!
PPh2(2MOMPh),00000439,COCc1ccccc1P(c1ccccc1)c1ccccc1,P(c3c(cccc3)COC)(c2ccccc2)c1ccccc1,0,2,C20H19OP,306,41,5,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,13175-76-3,1,#REF!
PPh(CH2NHpTol)2,00000440,Cc1ccc(NCP(CNc2ccc(C)cc2)c2ccccc2)cc1,P(CNc3ccc(cc3)C)(CNc2ccc(cc2)C)c1ccccc1,0,2,C22H25N2P,348,50,7,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,72897-08-6,0,#REF!
PPh2 OH-MOP,00000441,Oc1ccc2ccccc2c1-c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12,P(c6ccccc6)(c5ccccc5)c1c(c4c(cc1)cccc4)c2c3c(ccc2O)cccc3,0,2,C32H23OP,454,57,4,,1,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,"199796-91-3 (no stereo), 149917-88-4 (R), 144868-15-5 (S)",1,1
PtBu2(3-COOH-Ph),00000442,CC(C)(C)P(c1cccc(C(=O)O)c1)C(C)(C)C,P(C(C)(C)C)(C(C)(C)C)c1cc(ccc1)C(=O)O,0,2,C15H23O2P,266,41,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,352641-37-3,1,#REF!
"Ph,Ph cis-iPr2dioxaphosphaborinane",00000443,CC(C)C1OB(c2ccccc2)OC(C(C)C)P1c1ccccc1,B2(OC(P(C(O2)C(C)C)c3ccccc3)C(C)C)c1ccccc1,1,2,C20H26BO2P,340,50,4,,1,1,diast,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,87579-70-2,1,#REF!
PPh2(trans-Ph-ethylen),00000444,C(=C/P(c1ccccc1)c1ccccc1)\c1ccccc1,P(c3ccccc3)(c2ccccc2)\C=C\c1ccccc1,0,2,C20H17P,288,38,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,"14090-06-3 (E), 794-39-8 (no labelled stereo)",1,#REF!
EtPhosphatrioxabicyclooctane,00000445,CCC12COP(OC1)OC2,P21OCC(CO2)(CO1)CC,3,1,C6H11O3P,162,21,1,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,824-11-3,1,#REF!
POPh(OCH2)2,00000446,c1ccc(OP2OCCO2)cc1,P2(OCCO2)Oc1ccccc1,1,2,C8H9O3P,184,21,2,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,1077-05-0,1,#REF!
P(OAllyl)3,00000447,C=CCOP(OCC=C)OCC=C,P(OCC=C)(OCC=C)OCC=C,0,1,C9H15O3P,202,28,9,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,102-84-1,1,#REF!
P(OBn)3,00000448,c1ccc(COP(OCc2ccccc2)OCc2ccccc2)cc1,P(OCc3ccccc3)(OCc2ccccc2)OCc1ccccc1,0,1,C21H21O3P,352,46,9,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,15205-57-9,1,1
P(NEt2)3,00000449,CCN(CC)P(N(CC)CC)N(CC)CC,P(N(CC)CC)(N(CC)CC)N(CC)CC,0,1,C12H30N3P,247,46,9,,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,,5,,2283-11-6,1,1
P(OMe)2NiPr2,00000450,COP(OC)N(C(C)C)C(C)C,P(N(C(C)C)C(C)C)(OC)OC,0,2,C8H20NO2P,193,32,5,,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,,3,,122194-07-4,1,1
POMe(OCH2)2,00000451,COP1OCCO1,P1(OCCO1)OC,1,2,C3H7O3P,122,14,1,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,3741-36-4,1,#REF!
P(SMe)3,00000452,CSP(SC)SC,P(SC)(SC)SC,0,1,C3H9PS3,172,16,3,,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,,7,,816-80-8,1,#REF!
P(OTMS)3,00000453,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,[Si](OP(O[Si](C)(C)C)O[Si](C)(C)C)(C)(C)C,0,1,C9H27O3PSi3,299,43,6,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,1795-31-9,1,1
P(OCH2CF3)3,00000454,FC(F)(F)COP(OCC(F)(F)F)OCC(F)(F)F,FC(F)(F)COP(OCC(F)(F)F)OCC(F)(F)F,0,1,C6H6F9O3P,328,25,9,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,2,,370-69-4,1,1
P(4-NMe2-Ph)3,00000455,CN(C)c1ccc(P(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,P(c3ccc(cc3)N(C)C)(c2ccc(cc2)N(C)C)c1ccc(cc1)N(C)C,0,1,C24H30N3P,391,58,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1104-21-8,1,#REF!
